title,price,star_rating,availability,category
A Light in the Attic,£51.77,Three,In stock,Poetry
Tipping the Velvet,£53.74,One,In stock,Historical Fiction
Soumission,£50.10,One,In stock,Fiction
Sharp Objects,£47.82,Four,In stock,Mystery
Sapiens: A Brief History of Humankind,£54.23,Five,In stock,History
The Requiem Red,£22.65,One,In stock,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,In stock,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,In stock,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,In stock,Default
The Black Maria,£52.15,One,In stock,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,In stock,Default
Shakespeare's Sonnets,£20.66,Four,In stock,Poetry
Set Me Free,£17.46,Five,In stock,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,In stock,Sequential Art
Rip it Up and Start Again,£35.02,Five,In stock,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,In stock,Music
Olio,£23.88,One,In stock,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,In stock,Science Fiction
Libertarianism for Beginners,£51.33,Two,In stock,Politics
It's Only the Himalayas,£45.17,Two,In stock,Travel
In Her Wake,£12.84,One,In stock,Thriller
How Music Works,£37.32,Two,In stock,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,In stock,Food and Drink
Chase Me (Paris Nights #2),£25.27,Five,In stock,Romance
Black Dust,£34.53,Five,In stock,Romance
Birdsong: A Story in Pictures,£54.64,Three,In stock,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,In stock,Default
Aladdin and His Wonderful Lamp,£53.13,Three,In stock,Default
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,In stock,Nonfiction
Wall and Piece,£44.18,Four,In stock,Art
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,In stock,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,In stock,Nonfiction
The Elephant Tree,£23.82,Five,In stock,Thriller
The Bear and the Piano,£36.89,One,In stock,Childrens
Sophie's World,£15.94,Five,In stock,Philosophy
Penny Maybe,£33.29,Three,In stock,Default
Maude (1883-1993):She Grew Up with the country,£18.02,Two,In stock,Default
"In a Dark, Dark Wood",£19.63,One,In stock,Mystery
Behind Closed Doors,£52.22,Four,In stock,Thriller
You can't bury them all: Poems,£33.63,Two,In stock,Poetry
Slow States of Collapse: Poems,£57.31,Three,In stock,Poetry
Reasons to Stay Alive,£26.41,Two,In stock,Nonfiction
Private Paris (Private #10),£47.61,Five,In stock,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five,In stock,Nonfiction
Without Borders (Wanderlove #1),£45.07,Two,In stock,New Adult
When We Collided,£31.77,One,In stock,Contemporary
"We Love You, Charlie Freeman",£50.27,Five,In stock,Fiction
Untitled Collection: Sabbath Poems 2014,£14.27,Four,In stock,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four,In stock,Nonfiction
Unicorn Tracks,£18.78,Three,In stock,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One,In stock,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One,In stock,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three,In stock,Nonfiction
This One Summer,£19.49,Four,In stock,Sequential Art
Thirst,£17.27,Five,In stock,Fiction
The Torch Is Passed: A Harding Family Story,£19.09,One,In stock,Add a comment
The Secret of Dreadwillow Carse,£56.13,One,In stock,Childrens
